,bachelors_2019,bachelors_2018,gdp_2018,msa
112,6014.0,6808.0,4326754.0,17420
113,91870.0,97499.0,116646873.0,17460
114,9337.0,7545.0,5674115.0,17660
115,18793.0,15918.0,13857364.0,17780
116,17874.0,16994.0,33113428.0,17820
117,11406.0,6728.0,8970153.0,17860
118,45037.0,43998.0,37990145.0,17900
119,21884.0,20646.0,13458004.0,17980
120,4295.0,32621.49738219895,6078107.0,18020
121,60350.0,67609.0,116225180.0,18140
122,26611.0,32169.0,21545067.0,18580
123,33047.29301075269,2922.0,4390818.0,18700
124,50867.0,43007.0,13234960.0,18880
125,9453.0,8091.0,3576443.0,19060
126,243802.0,229368.0,464389967.0,19100
127,6357.0,5283.0,6393991.0,19140
128,4947.0,5959.0,3147084.0,19180
129,37100.0,33131.0,6006401.0,19300
130,15285.0,16379.0,19653928.0,19340
131,33047.29301075269,38603.0,43366184.85564304,19380
132,8456.0,9903.0,5656086.0,19460
133,7575.0,5843.0,6485632.0,19500
134,54062.0,54944.0,18829924.0,19660
135,63878.0,64133.0,194854387.0,19740
136,33047.29301075269,5245.0,7018157.0,20100
137,16890.0,21092.0,45302947.0,19780
138,196341.0,202170.0,235105362.0,19820
139,13550.0,14405.0,5800247.0,20020
140,3410.0,3013.0,5700053.0,20220
141,27868.0,27097.0,14299750.0,20260
142,24209.0,23995.0,45099151.0,20500
143,25554.0,26555.0,6144704.0,20700
144,6521.0,6220.0,8502893.0,20740
145,10103.0,16129.0,8493669.0,20940
146,5591.0,4599.0,3549347.0,21300
147,32585.0,29842.0,28874716.0,21340
148,3086.0,3804.0,3186594.0,21420
149,11733.0,11818.0,10767875.0,21500
150,9150.0,7418.0,15228030.0,21660
151,13422.0,14402.0,16544397.0,21780
152,8760.0,7929.0,5317630.0,21820
153,6577.0,8225.0,5276790.0,21060
154,11211.0,5835.0,14834828.0,21140
155,8495.0,11403.0,13443394.0,22020
156,8920.0,7566.0,5846232.0,22140
157,27787.0,21527.0,19078206.0,22180
158,19694.0,16636.0,23727377.0,22220
159,18498.0,19563.0,7007523.0,22380
160,23674.0,23145.0,14834898.0,22420
161,14983.0,16158.0,9057097.0,22500
162,11646.0,12266.0,4733145.0,22520
163,33047.29301075269,4352.0,4772639.0,22540
164,7769.0,12458.0,17851909.0,22660
165,13447.0,16942.0,8577661.0,22900
166,20505.0,24290.0,44264307.0,23420
167,7802.0,9222.0,2911022.0,23460
168,22855.0,21831.0,13839886.0,23540
169,10542.0,9441.0,9365514.0,23580
170,4057.0,3002.0,3507548.0,23900
171,15289.0,13761.0,21026580.0,23060
172,16242.0,17808.0,5554461.0,24020
173,6254.0,5448.0,4517297.0,24140
174,3880.0,5340.0,5035525.0,24220
175,33047.29301075269,3480.0,3860003.0,24260
176,4474.0,5367.0,6058926.0,24300
177,28667.0,27496.0,54900621.0,24340
178,4435.0,32621.49738219895,2601815.0,24420
179,6387.0,3479.0,3586088.0,24500
180,4619.0,4543.0,21311885.0,24540
181,13076.0,15060.0,18946740.0,24580
182,10324.0,10956.0,8476606.0,24780
183,37443.0,35285.0,37885426.0,24660
184,45935.0,45009.0,41391650.0,24860
185,31244.0,27518.0,16926113.0,25060
186,12267.0,8940.0,10280020.0,25180
187,11019.0,8966.0,3692765.0,25220
188,33047.29301075269,2922.0,6250134.0,25260
189,20028.0,19031.0,35398421.0,25420
190,7431.0,6165.0,7215973.0,25500
191,41462.0,46378.0,92930643.0,25540
192,12588.0,9958.0,5645971.0,25620
193,19992.0,19971.0,13884041.0,25860
194,31272.0,28335.0,7599138.0,25940
195,6352.0,5059.0,3333487.0,25980
196,9267.0,8632.0,43366184.85564304,25020
197,5910.0,5102.0,9440753.0,26980
198,16454.0,17695.0,3456006.0,26140
199,9268.0,10618.0,2992759.0,26300
200,10756.0,13583.0,8964394.0,26380
201,9468.0,6464.0,8381034.0,32780
202,68763.0,70841.0,68306485.0,32820
203,5741.0,6279.0,9918371.0,32900
204,15810.0,10148.0,43366184.85564304,32420
205,38452.0,44332.0,19421294.0,32580
206,375305.0,405843.0,321547437.0,33100
207,6217.0,6087.0,3864949.0,33140
208,33047.29301075269,3024.0,4987281.0,33220
209,4064.0,4506.0,34028279.0,33260
210,48264.0,46833.0,93081841.0,33340
211,73572.0,74101.0,240704552.0,33460
212,4691.0,4521.0,5031347.0,33540
213,31839.0,26060.0,18970993.0,33660
214,8289.0,7134.0,22846927.0,33700
215,18013.0,17487.0,7883740.0,33740
216,4381.0,3217.0,5308843.0,33780
217,23167.0,25326.0,16031416.0,33860
218,7250.0,7068.0,6793100.0,34060
219,7619.0,7779.0,4473722.0,34100
220,5893.0,5977.0,7544214.0,34580
221,7075.0,7420.0,3683385.0,34620
222,8348.0,7105.0,5875921.0,34740
223,111277.0,115052.0,15326111.0,34820
224,7552.0,8150.0,10053421.0,34900
225,81711.0,74107.0,15760820.0,34940
226,72391.0,70632.0,118459765.0,34980
227,8964.0,10870.0,4936064.0,35100
228,39674.0,32227.0,47660112.0,35300
229,76480.0,77087.0,74913492.0,35380
230,694599.0,738302.0,1555852330.0,35620
