43900,"Spartanburg, SC (Metropolitan Statistical Area)",14141191
44060,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",25754206
44100,"Springfield, IL (Metropolitan Statistical Area)",10860466
44140,"Springfield, MA (Metropolitan Statistical Area)",30723387
44180,"Springfield, MO (Metropolitan Statistical Area)",17945788
44220,"Springfield, OH (Metropolitan Statistical Area)",4293412
44300,"State College, PA (Metropolitan Statistical Area)",7899910
44420,"Staunton, VA (Metropolitan Statistical Area) *",4766582
44700,"Stockton, CA (Metropolitan Statistical Area)",29553515
44940,"Sumter, SC (Metropolitan Statistical Area)",4436732
45060,"Syracuse, NY (Metropolitan Statistical Area)",36734597
45220,"Tallahassee, FL (Metropolitan Statistical Area)",16253003
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",143153414
45460,"Terre Haute, IN (Metropolitan Statistical Area)",7011546
45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",5095749
45540,"The Villages, FL (Metropolitan Statistical Area)",2524512
45780,"Toledo, OH (Metropolitan Statistical Area)",34314738
45820,"Topeka, KS (Metropolitan Statistical Area)",10592903
45940,"Trenton-Princeton, NJ (Metropolitan Statistical Area)",30121068
46060,"Tucson, AZ (Metropolitan Statistical Area)",41020726
46140,"Tulsa, OK (Metropolitan Statistical Area)",52592588
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",10662980
46300,"Twin Falls, ID (Metropolitan Statistical Area)",4739793
46340,"Tyler, TX (Metropolitan Statistical Area)",10272715
46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",61308794
46540,"Utica-Rome, NY (Metropolitan Statistical Area)",11948778
46660,"Valdosta, GA (Metropolitan Statistical Area)",5070540
46700,"Vallejo, CA (Metropolitan Statistical Area)",21854674
47020,"Victoria, TX (Metropolitan Statistical Area)",4518323
47220,"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",5906791
47260,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area) *",87871687
47300,"Visalia, CA (Metropolitan Statistical Area)",18270773
47380,"Waco, TX (Metropolitan Statistical Area)",11883657
47460,"Walla Walla, WA (Metropolitan Statistical Area)",3425600
47580,"Warner Robins, GA (Metropolitan Statistical Area)",6959115
