,msa,NAME,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25005_001E,B25048_001E,B25052_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,gdp_2019
48,14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",262465,107525,108657,54938,67586,222375,271473,114895,114895,7370.0,107525.0,107525.0,32371,10232,27310,53718,18196,3555,696713,40535.0,7198.0,42413.0,74887.0,43853.0,22466.0,12065255.0
49,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",926326,340557,350973,209662,217555,758116,943332,375368,375368,34811.0,340557.0,340557.0,115509,44872,97716,112617,79929,30971,2350562,41874.0,63789.0,141693.0,124384.0,178372.0,139426.0,79854813.0
50,15180,"Brownsville-Harlingen, TX Metro Area",421078,129307,171197,126621,78902,311060,423163,154022,154022,24715.0,129307.0,129307.0,45236,12962,43726,69608,21475,3210,774022,21181.0,79672.0,65981.0,62858.0,29642.0,13507.0,10373362.0
51,15380,"Buffalo-Cheektowaga, NY Metro Area",1097469,488951,427604,226971,293548,926153,1127983,531436,531436,42485.0,488951.0,488951.0,167927,49182,134746,227939,85910,23008,3208126,32868.0,57573.0,228865.0,251734.0,151088.0,111866.0,63026922.0
52,15500,"Burlington, NC Metro Area",165387,64316,66476,37366,38780,135963,169509,72814,72814,8498.0,64316.0,64316.0,20249,6734,17772,36269,8172,2898,414258,30235.0,14521.0,34596.0,36068.0,20362.0,8575.0,5623983.0
53,15540,"Burlington-South Burlington, VT Metro Area",209074,89859,94373,40723,50276,184258,219433,99719,99719,9860.0,89859.0,89859.0,29911,11108,30827,37695,14430,3488,567678,36885.0,10844.0,35469.0,36755.0,38733.0,28167.0,12534416.0
54,15680,"California-Lexington Park, MD Metro Area",110699,40320,46004,27081,24884,90360,113510,46808,46808,6488.0,40320.0,40320.0,11155,1848,8954,19372,11543,4283,314906,40049.0,7259.0,25220.0,19544.0,14280.0,8718.0,6806268.0
55,15940,"Canton-Massillon, OH Metro Area",386953,165718,140729,84549,109037,321684,397520,180808,180808,15090.0,165718.0,165718.0,53485,12560,47775,83943,28692,4912,1129747,29251.0,23639.0,114087.0,82449.0,39839.0,19706.0,18617828.0
56,15980,"Cape Coral-Fort Myers, FL Metro Area",761876,286887,239071,133898,283535,650385,770577,408569,408569,121682.0,286887.0,286887.0,70272,28907,145116,176524,47334,6302,2192775,31181.0,64201.0,181330.0,169392.0,105918.0,63485.0,28207575.0
57,16940,"Cheyenne, WY Metro Area",96763,41739,38807,22983,23441,79009,99500,44385,44385,32656.16304347826,41739.0,41739.0,13290,4031,10633,15676,8394,5149,290068,36805.0,3792.0,18995.0,24619.0,12038.0,8331.0,5272539.0
58,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9299008,3539174,3844853,2129677,2017587,7577566,9457867,3869464,3869464,330290.0,3539174.0,3539174.0,1258249,485809,1083185,1325256,665977,187570,22551742,36716.0,687662.0,1554216.0,1696881.0,1535426.0,1009032.0,618616499.0
59,16020,"Cape Girardeau, MO-IL Metro Area",89888,38214,36481,19074,23275,76764,93397,45069,45069,6855.0,38214.0,38214.0,11755,2821,13040,18229,7636,2284,267409,30804.04177545692,6362.0,19860.0,17569.0,11738.0,7446.0,4149013.0
60,16060,"Carbondale-Marion, IL Metro Area",129126,56518,56456,27367,34073,113230,137159,66120,66120,9602.0,56518.0,56518.0,20730,6561,19557,27118,7600,2501,363240,25845.0,8101.0,26690.0,31248.0,14485.0,11468.0,5434423.0
61,16180,"Carson City, NV Metro Area",53632,22703,20203,11357,15830,45637,55916,24348,24348,32656.16304347826,22703.0,22703.0,9322,2040,6720,10849,3092,87,125756,31005.0,5372.0,10260.0,16307.0,6092.0,2546.0,3351143.0
62,16220,"Casper, WY Metro Area",78004,33044,31740,19356,17266,-999999999,79858,37358,37358,4314.0,33044.0,33044.0,9108,3201,9267,13932,7439,3404,226449,34223.0,3829.0,18647.0,20583.0,7628.0,3593.0,5602739.0
63,16300,"Cedar Rapids, IA Metro Area",265737,112373,104165,62895,63120,217380,273032,119008,119008,6635.0,112373.0,112373.0,30469,11410,31055,48647,19944,6557,732259,34979.0,10907.0,55056.0,63719.0,39638.0,17690.0,16915770.0
64,16540,"Chambersburg-Waynesboro, PA Metro Area",152960,60260,54041,34235,42477,124489,155027,66195,66195,5935.0,60260.0,60260.0,16034,2956,15243,31586,11103,4073,428967,32505.0,12971.0,48540.0,23864.0,14550.0,9564.0,5850275.0
65,16580,"Champaign-Urbana, IL Metro Area",210533,88700,112134,42973,43103,188006,226033,102141,102141,13441.0,88700.0,88700.0,40541,11895,28808,38862,15918,5075,592879,30179.0,8401.0,31934.0,33737.0,27077.0,32258.0,10733098.0
66,16620,"Charleston, WV Metro Area",253803,109452,88837,54297,72658,210594,257814,129856,129856,20404.0,109452.0,109452.0,31887,10771,39686,56352,16871,3984,768015,26955.0,21288.0,75605.0,46465.0,24347.0,17474.0,11794813.0
67,16700,"Charleston-North Charleston, SC Metro Area",782494,303976,331653,174188,171363,644431,802122,345889,345889,41913.0,303976.0,303976.0,98926,26401,74881,156484,67595,17829,2063375,36636.0,51102.0,133951.0,164103.0,131601.0,78028.0,39547761.0
68,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2593107,982241,1070372,616972,521243,2092388,2636883,1084126,1084126,101885.0,982241.0,982241.0,339537,84558,255900,456546,201722,68873,6578139,33671.0,183170.0,408250.0,552846.0,428345.0,221422.0,150589392.0
69,16820,"Charlottesville, VA Metro Area",205658,87274,90310,41312,53874,181781,218358,97342,97342,10068.0,87274.0,87274.0,30547,8151,20475,39359,21006,6447,622460,37234.0,12664.0,30425.0,32253.0,37547.0,35539.0,12315889.0
70,16860,"Chattanooga, TN-GA Metro Area",551560,222950,216264,120432,143411,460368,566153,251893,251893,28943.0,222950.0,222950.0,75749,21175,68840,108979,38526,8758,1472040,27473.0,50215.0,109302.0,120486.0,75332.0,41883.0,27149478.0
71,17020,"Chico, CA Metro Area",213523,77651,92293,44456,54798,179661,219186,86212,86212,8561.0,77651.0,77651.0,31738,10646,26238,34696,11999,1459,448258,26387.0,16612.0,31262.0,52111.0,29686.0,14144.0,9897121.0
72,17140,"Cincinnati, OH-KY-IN Metro Area",2167822,878645,869929,515106,501493,1763035,2219750,951030,951030,72385.0,878645.0,878645.0,290393,107301,238881,350561,198772,41772,5945406,34914.0,125681.0,443316.0,397437.0,328315.0,201434.0,133730544.0
73,17300,"Clarksville, TN-KY Metro Area",299006,115195,143177,81064,52476,238902,311073,129944,129944,14749.0,115195.0,115195.0,47413,5195,32753,63160,20194,6066,774800,30839.0,16359.0,57265.0,68815.0,32806.0,18161.0,11289906.0
74,17420,"Cleveland, TN Metro Area",122511,46936,49199,27763,30358,103491,126801,52950,52950,6014.0,46936.0,46936.0,15548,3682,15027,25570,6138,2036,313184,25237.0,13780.0,30818.0,25065.0,13291.0,5405.0,4416996.0
75,17460,"Cleveland-Elyria, OH Metro Area",2007164,872626,755341,428619,538137,1672048,2048449,964496,964496,91870.0,872626.0,872626.0,312476,103765,242110,382933,181574,33825,5915166,31900.0,133560.0,410919.0,445133.0,277897.0,181285.0,118167899.0
76,17660,"Coeur d'Alene, ID Metro Area",163518,65283,59996,37817,43547,131718,165697,74620,74620,9337.0,65283.0,65283.0,20100,3911,18303,32097,14251,4799,460003,30321.0,7483.0,29628.0,50084.0,17885.0,10481.0,5789257.0
77,17780,"College Station-Bryan, TX Metro Area",251441,94597,140574,56179,41086,217456,268101,113390,113390,18793.0,94597.0,94597.0,45465,13031,27022,47263,20694,2769,614491,25948.0,19276.0,35335.0,38563.0,32709.0,24298.0,14097734.0
78,17820,"Colorado Springs, CO Metro Area",727069,275778,322973,173922,147150,591197,745791,293652,293652,17874.0,275778.0,275778.0,96744,25417,62226,94967,70230,36203,1906032,34925.0,23844.0,102098.0,173044.0,120899.0,71986.0,34322697.0
79,17860,"Columbia, MO Metro Area",197230,80127,100522,43388,37979,169785,208548,91533,91533,11406.0,80127.0,80127.0,31920,4532,24402,35694,18799,6038,566411,30305.0,9164.0,28449.0,33742.0,31281.0,24745.0,9140817.0
80,17900,"Columbia, SC Metro Area",802475,317998,345875,184950,182759,675295,839039,363035,363035,45037.0,317998.0,317998.0,102199,19873,77975,165164,71261,19334,2228082,30802.0,59585.0,143035.0,164235.0,117476.0,75152.0,38637223.0
81,17980,"Columbus, GA-AL Metro Area",308774,119728,132568,76831,66612,252999,322103,141612,141612,21884.0,119728.0,119728.0,52319,11176,33452,64966,25359,4369,842185,26601.0,26715.0,58251.0,79277.0,26990.0,22442.0,13596205.0
82,18020,"Columbus, IN Metro Area",82540,30383,33675,19988,19127,-999999999,83779,34678,34678,4295.0,30383.0,30383.0,8389,2868,7473,15591,7298,1161,213533,32425.0,5188.0,16835.0,14454.0,12387.0,8557.0,6045053.0
83,18140,"Columbus, OH Metro Area",2065259,817086,894554,495264,415588,1678203,2122271,877436,877436,60350.0,817086.0,817086.0,319126,91475,241160,331860,169886,27319,5249746,34706.0,119848.0,385046.0,385218.0,342684.0,200986.0,117001202.0
84,18580,"Corpus Christi, TX Metro Area",419951,153066,176879,105628,88739,334911,429024,179677,179677,26611.0,153066.0,153066.0,59399,19710,47738,76755,27907,2932,916642,27343.0,45023.0,89969.0,83901.0,40063.0,22818.0,21949935.0
85,18700,"Corvallis, OR Metro Area",87493,37378,46432,14882,20636,79786,93053,39107,39107,32656.16304347826,37378.0,37378.0,15953,3581,7880,16059,7595,2054,227588,28857.0,1500.0,7404.0,15131.0,17504.0,15614.0,4457457.0
86,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",275639,102572,110850,62367,69424,228606,284809,153439,153439,50867.0,102572.0,102572.0,31730,11807,36441,67986,29763,4650,855961,30189.0,15429.0,55427.0,66396.0,41228.0,20785.0,13934981.0
87,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",656550,263915,215727,115797,228021,565631,668365,317977,317977,54062.0,263915.0,263915.0,72173,20531,93692,153404,39858,5573,1780683,28042.0,44288.0,167641.0,166484.0,78466.0,44388.0,19285228.0
88,19740,"Denver-Aurora-Lakewood, CO Metro Area",2931618,1152457,1297798,655615,568936,2387232,2967239,1216335,1216335,63878.0,1152457.0,1152457.0,411852,178559,299233,350947,247581,108291,7410101,41987.0,162635.0,411836.0,550749.0,596198.0,354073.0,202456263.0
89,19780,"Des Moines-West Des Moines, IA Metro Area",686491,280056,288770,173392,137361,544980,699292,296946,296946,16890.0,280056.0,280056.0,86571,26424,86029,107042,55254,15880,1799064,38477.0,31536.0,115219.0,142612.0,123579.0,53680.0,45632930.0
90,19820,"Detroit-Warren-Dearborn, MI Metro Area",4276356,1720610,1630157,943743,1024083,3488626,4319629,1916951,1916951,196341.0,1720610.0,1720610.0,522750,168633,446126,879079,333020,61015,11732899,32311.0,271066.0,825252.0,944681.0,579485.0,398861.0,237089292.0
91,19060,"Cumberland, MD-WV Metro Area",87554,36430,37098,17108,27965,82265,97284,45883,45883,9453.0,36430.0,36430.0,10713,5279,11525,18769,7917,1616,276051,23361.0,6068.0,30848.0,18371.0,8519.0,4529.0,3674605.0
92,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7479506,2635017,3226795,1945726,1279162,5853713,7573136,2878819,2878819,243802.0,2635017.0,2635017.0,1066239,442854,574855,1046706,604381,139830,16538771,35749.0,661761.0,1131846.0,1350447.0,1155466.0,632672.0,472334266.0
93,19140,"Dalton, GA Metro Area",142421,50267,58190,36820,29224,112271,144724,56624,56624,6357.0,50267.0,50267.0,14639,1849,15028,27647,8981,2133,332180,26457.0,25200.0,30190.0,24079.0,8217.0,5832.0,6350119.0
94,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",369282,155389,139797,86608,96087,303730,378923,170674,170674,15285.0,155389.0,155389.0,49105,17267,45879,70025,26947,7663,1039429,34839.0,23544.0,78485.0,88271.0,44094.0,26503.0,20022640.0
95,19180,"Danville, IL Metro Area",72794,31154,26250,17759,19920,59587,75758,36101,36101,4947.0,31154.0,31154.0,10097,3734,10577,16476,4191,789,208472,27900.0,5347.0,23069.0,17133.0,4095.0,2192.0,3202651.0
96,19300,"Daphne-Fairhope-Foley, AL Metro Area",219405,82325,78580,46903,63129,183875,223234,119425,119425,37100.0,82325.0,82325.0,17028,7620,23939,64549,17835,3799,718290,29894.0,15158.0,41884.0,51204.0,32781.0,18690.0,6140514.0
97,19430,"Dayton-Kettering, OH Metro Area",778684,332258,310348,175847,203056,652029,807611,370810,370810,38552.0,332258.0,332258.0,119846,33926,96034,160744,60989,11823,2242580,30664.0,47280.0,152414.0,187078.0,100031.0,67329.0,40003761.0
98,19460,"Decatur, AL Metro Area",149543,59315,54378,33962,38925,123325,152603,67771,67771,8456.0,59315.0,59315.0,14184,3673,12349,36815,10891,2777,417866,27394.0,15737.0,39236.0,28775.0,14534.0,7756.0,5824699.0
99,19500,"Decatur, IL Metro Area",100138,42741,37816,22963,28042,83285,104009,50316,50316,7575.0,42741.0,42741.0,13554,6446,16484,19192,6358,1320,302637,31205.0,4785.0,28800.0,23145.0,10386.0,5171.0,6399861.0
100,20020,"Dothan, AL Metro Area",147247,56795,53767,33523,37567,119775,149358,70345,70345,13550.0,56795.0,56795.0,17828,3162,15824,39800,9396,1698,414688,26342.0,16986.0,33239.0,33767.0,13563.0,7518.0,5852663.0
101,20100,"Dover, DE Metro Area",174297,68023,70359,41303,43345,143775,180786,74455,74455,32656.16304347826,68023.0,68023.0,22705,2944,15434,37343,13650,3665,459957,30155.0,13815.0,38869.0,39322.0,19111.0,10738.0,7274755.0
102,20220,"Dubuque, IA Metro Area",93941,38345,36823,22066,25418,78269,97311,41755,41755,3410.0,38345.0,38345.0,9769,3262,10315,17250,7381,1849,251309,31823.0,3688.0,22396.0,17750.0,14179.0,7059.0,5712534.0
103,20260,"Duluth, MN-WI Metro Area",277819,124913,109808,56267,80304,240632,289383,152781,152781,27868.0,124913.0,124913.0,33669,18778,47698,57181,21413,3898,864720,31519.0,11470.0,55883.0,77950.0,38836.0,18931.0,14961822.0
104,20500,"Durham-Chapel Hill, NC Metro Area",611877,255271,272519,130315,145148,526731,644367,279480,279480,24209.0,255271.0,255271.0,98450,25962,70139,120171,45849,11382,1640446,34759.0,47864.0,89789.0,100307.0,101740.0,103505.0,47168892.0
105,20700,"East Stroudsburg, PA Metro Area",167961,56274,62187,33116,41799,140935,170271,81828,81828,25554.0,56274.0,56274.0,14133,5013,17552,37359,17257,3170,494763,30138.0,10481.0,41936.0,35819.0,20295.0,10714.0,6350462.0
106,20740,"Eau Claire, WI Metro Area",161905,67096,70026,35000,39689,138076,169304,73617,73617,6521.0,67096.0,67096.0,20068,5751,21159,29432,12346,3963,456001,31794.0,5690.0,32559.0,41018.0,21934.0,11796.0,8612412.0
107,20940,"El Centro, CA Metro Area",170050,48182,75855,51598,32679,135259,181215,58285,58285,10103.0,48182.0,48182.0,21460,6854,13091,24009,10728,1703,298139,19125.0,31668.0,26050.0,33468.0,15536.0,5033.0,8980597.0
108,21060,"Elizabethtown-Fort Knox, KY Metro Area",150009,58590,60375,36298,34816,122936,154713,65167,65167,6577.0,58590.0,58590.0,20751,3360,16681,28987,10244,4298,396348,31191.0,10728.0,35242.0,36655.0,13663.0,8890.0,5313553.0
