,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,2018
61,718621,268289,298129,182026,149298,-888888888,570659,732257,283285,283285,14996.0,14996.0,268289,268289.0,268289.0,77507,17745,56396,127748,57478,18698,1739195,29928.0,37591.0,126113.0,165582.0,105602.0,50336.0,32266330.0
62,4715638,1847798,2017183,962856,1071976,-888888888,4029372,4875390,1973416,1973416,125618.0,125618.0,1847798,1847798.0,1847798.0,722050,290751,567486,623812,332314,91495,11300649,40417.0,284329.0,721516.0,732469.0,903207.0,776451.0,414346347.0
63,313578,128295,145921,62140,67916,-888888888,271260,326078,137465,137465,9170.0,9170.0,128295,128295.0,128295.0,47943,17065,34843,40522,29746,10661,836001,37172.0,9134.0,23587.0,48310.0,74946.0,60186.0,25928673.0
64,168154,67424,75109,40603,35193,-888888888,141445,177183,77072,77072,9648.0,9648.0,67424,67424.0,67424.0,24664,4874,20280,38065,10341,2957,464535,24102.0,15780.0,35843.0,32141.0,16960.0,11471.0,6431811.0
65,261589,105411,105569,55256,66244,-888888888,220424,269805,113732,113732,8321.0,8321.0,105411,105411.0,105411.0,31694,10620,28389,52111,16582,4296,693302,36363.0,8707.0,40110.0,76143.0,41380.0,22120.0,11591481.0
66,926707,345634,350499,211990,213405,-888888888,758754,943823,374480,374480,28846.0,28846.0,345634,345634.0,345634.0,118537,48841,87944,119367,76427,31811,2328708,40247.0,64082.0,133036.0,136387.0,173054.0,139255.0,79284819.0
67,420857,124812,171460,128762,75340,-888888888,310656,423908,152374,152374,27562.0,27562.0,124812,124812.0,124812.0,41899,13895,39258,69686,21163,2991,758143,19260.0,76419.0,69237.0,62503.0,29493.0,13052.0,10091715.0
68,114382,47266,41241,25156,32483,-888888888,93988,116864,61215,61215,13949.0,13949.0,47266,47266.0,292610.1221590909,14931,3006,12281,30375,12646,1994,367415,26062.0,12970.0,25013.0,22869.0,12784.0,9251.0,4147572.0
69,90285,34368,36874,19788,21978,-888888888,75410,93647,43877,43877,9509.0,9509.0,34368,34368.0,34368.0,11688,3433,11781,19214,6662,1397,248513,24050.0,7259.0,21029.0,16190.0,10410.0,6305.0,4086120.0
70,118412,51205,51200,25366,30531,-888888888,102092,124475,60406,60406,9201.0,9201.0,51205,51205.0,51205.0,22200,5871,21031,22441,6977,1579,329462,22436.0,7051.0,23537.0,29150.0,11583.0,11630.0,5421936.0
71,52685,23099,19651,11316,14557,-888888888,45486,55414,24022,24022,35586.901162790695,32621.49738219895,23099,23099.0,23099.0,9744,2200,6566,10302,2861,829,128943,32964.0,4511.0,8575.0,17790.0,6416.0,2517.0,3232270.0
72,77033,32240,31597,18914,16960,-888888888,62587,79115,37181,37181,35586.901162790695,4941.0,32240,32240.0,292610.1221590909,9410,2186,9297,14063,7076,4351,233535,35061.0,3461.0,13498.0,23559.0,8577.0,4942.0,5626913.0
73,265600,109191,104656,63173,61614,-888888888,216129,272295,118216,118216,9025.0,9025.0,109191,109191.0,109191.0,26385,10093,31345,44912,22407,8019,746352,34307.0,11604.0,53238.0,62381.0,42013.0,16494.0,16963563.0
74,152630,59834,55427,34503,40372,-888888888,124906,154835,65799,65799,5965.0,5965.0,59834,59834.0,292610.1221590909,16832,2994,15219,31959,10982,3609,418098,30038.0,12470.0,46739.0,26935.0,13695.0,9067.0,5762282.0
75,257584,97387,117315,65784,55499,-888888888,212277,270566,110987,110987,13600.0,13600.0,97387,97387.0,97387.0,40753,10547,30528,49934,16242,2238,609719,24597.0,25068.0,45774.0,55837.0,25860.0,14118.0,11883657.0
76,60740,23893,26042,13695,17309,-888888888,53626,65611,27382,27382,35586.901162790695,3489.0,23893,23893.0,23893.0,9409,3108,6937,9817,4635,1773,160310,26447.0,5222.0,8475.0,17542.0,7361.0,4608.0,3425600.0
