,NAME,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,msa
27,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5950828,2331002,2331002,193722,193722,2137280,2137280,2137280,769417,207288,474357,852990,515384,246776,15155858,33728,389510,949194,1055008,967196,591317,12060
28,"Atlantic City-Hammonton, NJ Metro Area",265429,128408,128408,31427,31427,96981,96981,96981,30122,14029,33003,46383,25826,6022,771679,29718,22231,55122,53070,33305,19226,12100
30,"Auburn-Opelika, AL Metro Area",163941,70372,70372,11036,11036,59336,59336,59336,22838,3473,11124,31918,11800,2517,390216,25572,7846,22215,34105,19722,13765,12220
31,"Augusta-Richmond County, GA-SC Metro Area",605903,259295,259295,45188,45188,214107,214107,214107,69757,13426,61280,124736,44457,12999,1587771,26143,49731,128167,121274,65354,40967,12260
33,"Austin-Round Rock, TX Metro Area",2168316,853697,853697,67356,67356,786341,786341,786341,329998,130765,182627,301966,181445,35391,4734524,38050,144547,273410,361553,432240,247055,12420
34,"Bakersfield, CA Metro Area",896764,300423,300423,27256,27256,273167,273167,273167,116315,21504,74119,133999,56109,6061,1566654,24850,143384,146820,168579,56830,31627,12540
35,"Baltimore-Columbia-Towson, MD Metro Area",2802789,1164143,1164143,109917,109917,1054226,1054226,1054226,350747,127405,253021,444464,245818,69735,7553607,39184,171641,480196,490593,440806,360595,12580
36,"Bangor, ME Metro Area",151096,76144,76144,14379,14379,61765,61765,,21094,11916,20682,30563,7839,2237,410101,25052,8694,36743,32367,19373,10892,12620
37,"Barnstable Town, MA Metro Area",213413,164329,164329,77658,77658,86671,86671,86671,15683,11533,45509,68482,28100,8032,957439,34566,9150,40015,47823,37697,31911,12700
38,"Baton Rouge, LA Metro Area",831310,358048,358048,56539,56539,301509,301509,301509,94150,31310,74348,176645,61953,8428,2027933,30426,64616,173114,152831,101140,55090,12940
39,"Battle Creek, MI Metro Area",134487,60879,60879,6965,6965,53914,53914,53914,17093,6432,17499,25237,8510,2354,362625,26975,8149,32301,31592,13498,6690,12980
40,"Bay City, MI Metro Area",103923,48345,48345,3876,3876,44469,44469,,11046,4941,10295,22225,8094,2424,301967,26360,8088,26396,25618,9179,5294,13020
41,"Beaumont-Port Arthur, TX Metro Area",410233,178050,178050,32920,32920,145130,145130,145130,49611,18409,42485,87242,24117,2677,991396,26481,41147,94043,87710,36070,13584,13140
43,"Beckley, WV Metro Area",117272,57683,57683,9051,9051,48632,48632,,12319,4043,18277,25164,8154,893,333503,,13346,33572,23128,8306,6070,13220
44,"Bellingham, WA Metro Area",225685,97867,97867,10787,10787,87080,87080,87080,33650,9213,28734,39545,13731,2565,539564,30513,11340,35292,52102,31493,19061,13380
45,"Bend-Redmond, OR Metro Area",191996,91040,91040,,11090,79950,79950,,27173,5389,22521,46117,13258,2025,501524,32308,10499,24479,55383,32147,18392,13460
46,"Billings, MT Metro Area",171894,79628,79628,7841,7841,71787,71787,71787,23172,6691,21441,26936,15704,7573,502975,31255,4872,34429,39727,27603,11233,13740
47,"Binghamton, NY Metro Area",240219,113860,113860,18120,18120,95740,95740,95740,32229,11220,30096,44634,20288,4470,693661,26512,15658,55347,47039,25854,20369,13780
48,"Birmingham-Hoover, AL Metro Area",1151801,520740,520740,84908,84908,435832,435832,435832,133862,34647,126588,242722,86938,22433,3201698,29925,87322,222394,243869,153043,86961,13820
49,"Bismarck, ND Metro Area",132317,60824,60824,4442,4442,56382,56382,56382,17440,5778,13444,19651,14616,6425,400655,40771,5082,21889,34652,21693,7052,13900
50,"Blacksburg-Christiansburg-Radford, VA Metro Area",181926,81873,81873,13461,13461,68412,68412,68412,24156,6131,20702,35457,15450,2843,480806,25003,11475,29054,34440,18145,19335,13980
51,"Bloomington, IL Metro Area",190884,80721,80721,7141,7141,73580,73580,73580,24916,8089,21218,27233,18677,4300,499556,32436,4913,29744,32364,31565,19089,14010
52,"Bloomington, IN Metro Area",167762,72324,72324,6753,6753,65571,65571,65571,27930,9615,20345,27826,10451,1951,399479,23866,6975,23361,26438,21648,20535,14020
53,"Bloomsburg-Berwick, PA Metro Area",83696,38559,38559,4089,4089,34470,34470,,10160,3238,10214,16426,6210,1306,233235,29402,4625,24097,11451,9845,7166,14100
55,"Boise City, ID Metro Area",732257,283285,283285,14996,14996,268289,268289,268289,77507,17745,56396,127748,57478,18698,1739195,29928,37591,126113,165582,105602,50336,14260
56,"Boston-Cambridge-Newton, MA-NH Metro Area",4875390,1973416,1973416,125618,125618,1847798,1847798,1847798,722050,290751,567486,623812,332314,91495,11300649,40417,284329,721516,732469,903207,776451,14460
57,"Boulder, CO Metro Area",326078,137465,137465,9170,9170,128295,128295,128295,47943,17065,34843,40522,29746,10661,836001,37172,9134,23587,48310,74946,60186,14500
58,"Bowling Green, KY Metro Area",177183,77072,77072,9648,9648,67424,67424,67424,24664,4874,20280,38065,10341,2957,464535,24102,15780,35843,32141,16960,11471,14540
62,"Bremerton-Silverdale, WA Metro Area",269805,113732,113732,8321,8321,105411,105411,105411,31694,10620,28389,52111,16582,4296,693302,36363,8707,40110,76143,41380,22120,14740
63,"Bridgeport-Stamford-Norwalk, CT Metro Area",943823,374480,374480,28846,28846,345634,345634,345634,118537,48841,87944,119367,76427,31811,2328708,40247,64082,133036,136387,173054,139255,14860
64,"Brownsville-Harlingen, TX Metro Area",423908,152374,152374,27562,27562,124812,124812,124812,41899,13895,39258,69686,21163,2991,758143,19260,76419,69237,62503,29493,13052,15180
65,"Brunswick, GA Metro Area",116864,61215,61215,13949,13949,47266,47266,,14931,3006,12281,30375,12646,1994,367415,26062,12970,25013,22869,12784,9251,15260
66,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1130152,530321,530321,50215,50215,480106,480106,480106,166746,48484,140286,226787,87546,17486,3185224,31624,68595,222263,239929,150474,118864,15380
67,"Burlington, NC Metro Area",166436,71655,71655,6955,6955,64700,64700,64700,21578,5871,21248,35439,7630,1129,401013,28639,13312,31861,37636,20870,7709,15500
68,"Burlington-South Burlington, VT Metro Area",220612,98586,98586,11257,11257,87329,87329,87329,29246,10192,31110,36535,14598,3070,565779,32931,9172,34221,37629,42726,25488,15540
69,"California-Lexington Park, MD Metro Area",112664,45998,45998,4759,4759,41239,41239,41239,11935,1472,8409,19595,12644,3600,309232,40903,6815,24037,17012,15078,10306,15680
70,"Canton-Massillon, OH Metro Area",398655,180625,180625,16999,16999,163626,163626,163626,51879,13811,49882,82204,27856,4907,1122689,26939,22535,108134,89317,38847,20547,15940
71,"Cape Coral-Fort Myers, FL Metro Area",754610,399741,399741,118519,118519,281222,281222,281222,76370,25648,147123,177486,37775,6176,2113503,27889,59223,176117,167453,104532,62227,15980
72,"Cape Girardeau, MO-IL Metro Area",93647,43877,43877,9509,9509,34368,34368,34368,11688,3433,11781,19214,6662,1397,248513,24050,7259,21029,16190,10410,6305,16020
73,"Carbondale-Marion, IL Metro Area",124475,60406,60406,9201,9201,51205,51205,51205,22200,5871,21031,22441,6977,1579,329462,22436,7051,23537,29150,11583,11630,16060
74,"Carson City, NV Metro Area",55414,24022,24022,,,23099,23099,23099,9744,2200,6566,10302,2861,829,128943,32964,4511,8575,17790,6416,2517,16180
75,"Casper, WY Metro Area",79115,37181,37181,,4941,32240,32240,,9410,2186,9297,14063,7076,4351,233535,35061,3461,13498,23559,8577,4942,16220
76,"Cedar Rapids, IA Metro Area",272295,118216,118216,9025,9025,109191,109191,109191,26385,10093,31345,44912,22407,8019,746352,34307,11604,53238,62381,42013,16494,16300
78,"Chambersburg-Waynesboro, PA Metro Area",154835,65799,65799,5965,5965,59834,59834,,16832,2994,15219,31959,10982,3609,418098,30038,12470,46739,26935,13695,9067,16540
79,"Champaign-Urbana, IL Metro Area",237356,106732,106732,10283,10283,96449,96449,96449,41411,14130,26487,35717,20440,4095,597539,29729,8664,32378,40899,29303,29577,16580
80,"Charleston, WV Metro Area",211285,108280,108280,17552,17552,90728,90728,90728,27413,9677,35189,47030,13041,1912,640973,24373,18217,56642,42710,20359,15201,16620
81,"Charleston-North Charleston, SC Metro Area",787643,339519,339519,45095,45095,294424,294424,294424,96956,24003,75234,156408,62324,17543,2070663,31989,44499,139000,162691,129199,70215,16700
82,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2569213,1049329,1049329,89032,89032,960297,960297,960297,329130,76402,238854,460484,193384,65342,6435079,31521,184744,402812,522184,421008,207184,16740
83,"Charlottesville, VA Metro Area",231565,103303,103303,14538,14538,88765,88765,88765,33003,8901,24003,41358,19852,7237,660527,32778,16741,33724,32550,38028,38129,16820
84,"Chattanooga, TN-GA Metro Area",558703,245558,245558,24425,24425,221133,221133,221133,70248,19615,64440,111010,38309,9412,1468007,27867,46183,111166,130726,66688,37582,16860
85,"Cheyenne, WY Metro Area",98976,43892,43892,4214,4214,39678,39678,39678,11186,3519,10791,15908,9532,2881,273835,32603,4031,19457,26516,12065,5948,16940
86,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9497790,3858653,3858653,320552,320552,3538101,3538101,3538101,1246171,472108,1091243,1320223,665821,193515,22579297,35065,710098,1568191,1703780,1494347,1002628,16980
87,"Chico, CA Metro Area",231256,100038,100038,11402,11402,88636,88636,88636,36695,11750,32573,42154,11426,1287,522349,24872,13849,34495,64555,26382,13631,17020
89,"Cincinnati, OH-KY-IN Metro Area",2189442,938179,938179,75644,75644,862535,862535,862535,298002,109813,232470,351845,194021,34585,5830188,32364,127453,435876,410286,306971,194611,17140
92,"Clarksville, TN-KY Metro Area",290745,120476,120476,15974,15974,104502,104502,104502,44635,6091,29370,58316,21767,4086,716721,30223,12881,50542,64944,32863,16325,17300
94,"Cleveland, TN Metro Area",124748,53586,53586,6808,6808,46778,46778,46778,15235,2960,16173,25359,6445,2182,307983,24447,13443,28636,27437,9578,6615,17420
95,"Cleveland-Elyria, OH Metro Area",2057009,963538,963538,97499,97499,866039,866039,866039,308240,100777,242955,377580,184470,40746,5987447,31226,131446,406997,436409,288170,185318,17460
96,"Coeur d'Alene, ID Metro Area",161505,72500,72500,7545,7545,64955,64955,64955,18241,5421,18707,29481,13464,4543,444847,28344,8837,32721,42017,18844,10173,17660
97,"College Station-Bryan, TX Metro Area",265024,110533,110533,15918,15918,94615,94615,94615,47545,14482,26910,41247,20622,3988,580342,24026,18683,31763,36237,31885,27433,17780
98,"Colorado Springs, CO Metro Area",738939,288688,288688,16994,16994,271694,271694,271694,91756,23404,64885,90633,70592,33994,1846581,32137,32119,95173,169453,111270,75311,17820
99,"Columbia, MO Metro Area",180005,78945,78945,,6728,72217,72217,72217,33107,5131,21211,31369,14937,4682,462677,28415,5154,20358,29905,27958,24033,17860
100,"Columbia, SC Metro Area",833165,359090,359090,43998,43998,315092,315092,315092,103613,22227,75825,167203,64421,17369,2162829,28330,50825,153844,176459,104708,66891,17900
101,"Columbus, GA-AL Metro Area",307149,135253,135253,20646,20646,114607,114607,114607,50782,10608,30777,61917,25929,4101,800558,25421,25204,57420,71935,26193,20376,17980
102,"Columbus, IN Metro Area",82753,34532,34532,2641,,31891,31891,31891,9277,3328,7135,16737,5570,1370,211884,31481,4730,17467,15786,11337,7608,18020
103,"Columbus, OH Metro Area",2106541,869414,869414,67609,67609,801805,801805,801805,305707,85332,247451,327710,169900,27855,5238130,32470,112159,388102,383251,336606,197029,18140
108,"Corpus Christi, TX Metro Area",452927,193862,193862,32169,32169,161693,161693,161693,61902,23312,54618,82062,25865,3728,997198,27370,52041,86878,96656,40928,21897,18580
109,"Corvallis, OR Metro Area",92101,38442,38442,,2922,35520,35520,35520,14620,4636,8954,15819,5868,2130,221832,25671,2192,8297,15479,15704,14064,18700
110,"Crestview-Fort Walton Beach-Destin, FL Metro Area",278644,151347,151347,43007,43007,108340,108340,108340,34862,12262,36964,68981,24474,5157,816690,30154,16784,51942,65610,36557,22860,18880
112,"Cumberland, MD-WV Metro Area",97915,45984,45984,8091,8091,37893,37893,,10560,3702,11974,22871,5635,1293,279351,22360,5823,29708,20142,8224,5196,19060
113,"Dallas-Fort Worth-Arlington, TX Metro Area",7540371,2853246,2853246,229368,229368,2623878,2623878,2623878,1071873,421207,574635,1073074,585943,138349,16492169,34526,681005,1114254,1360939,1129425,609292,19100
114,"Dalton, GA Metro Area",143983,56306,56306,,5283,51023,51023,,17348,2457,15570,26396,8925,1156,311811,25805,26309,30028,23001,9716,4460,19140
115,"Danville, IL Metro Area",76806,36125,36125,5959,5959,30166,30166,30166,9518,3458,12159,14561,4253,1397,210055,25321,4956,22892,16059,5271,3165,19180
117,"Daphne-Fairhope-Foley, AL Metro Area",218022,116632,116632,33131,33131,83501,83501,83501,20491,6051,24387,58660,22296,3907,710073,27772,15282,44013,47573,32210,16613,19300
118,"Davenport-Moline-Rock Island, IA-IL Metro Area",380106,170244,170244,16379,16379,153865,153865,153865,45674,15876,49386,67201,29032,5571,1035643,31069,23523,78778,85919,48381,23665,19340
119,"Dayton, OH Metro Area",806548,370029,370029,38603,38603,331426,331426,331426,126278,33821,95707,159979,62147,12313,2239610,30232,48191,155902,179891,96266,72660,19380
120,"Decatur, AL Metro Area",152046,67766,67766,9903,9903,57863,57863,57863,16484,3757,15255,36030,9545,2138,417455,26886,16985,32749,30674,16470,7869,19460
121,"Decatur, IL Metro Area",104712,50405,50405,5843,5843,44562,44562,44562,14604,5379,14635,20825,7212,1587,292583,27728,7545,25345,24466,10218,5309,19500
122,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",659605,314641,314641,54944,54944,259697,259697,259697,71985,22976,94396,149265,37886,5816,1739038,27642,43318,154447,173295,80477,41272,19660
123,"Denver-Aurora-Lakewood, CO Metro Area",2932415,1195543,1195543,64133,64133,1131410,1131410,1131410,417459,171849,301336,345941,240542,103286,7268532,40206,175636,398790,551751,576602,336630,19740
124,"Des Moines-West Des Moines, IA Metro Area",655409,276147,276147,21092,21092,255055,255055,255055,77495,24795,78238,96469,56612,13160,1669449,37523,29165,106623,129439,117216,51599,19780
125,"Detroit-Warren-Dearborn, MI Metro Area",4326442,1912856,1912856,202170,202170,1710686,1710686,1710686,528058,176292,452639,861435,329853,61944,11665282,31207,295939,794421,965497,573602,382972,19820
126,"Dothan, AL Metro Area",148245,69836,69836,14405,14405,55431,55431,55431,16923,3700,16018,39131,9000,1465,405271,23586,15652,33711,33239,13108,7189,20020
127,"Dover, DE Metro Area",178550,73086,73086,5245,5245,67841,67841,67841,21718,3910,15999,37343,12934,2398,462886,27657,19350,39124,33717,16233,11732,20100
129,"Dubuque, IA Metro Area",96854,41514,41514,,3013,38501,38501,,10620,4553,9187,16294,8730,1506,256883,30181,5130,22731,17363,12760,7372,20220
130,"Duluth, MN-WI Metro Area",278799,144323,144323,27097,27097,117226,117226,117226,34689,19152,46083,51671,17901,4340,800868,28245,11228,53018,74254,35449,18702,20260
132,"Durham-Chapel Hill, NC Metro Area",575412,249694,249694,23995,23995,225699,225699,225699,85856,28270,61793,105198,38898,10698,1466531,31777,36820,75270,91170,95630,92912,20500
133,"East Stroudsburg, PA Metro Area",169507,81664,81664,26555,26555,55109,55109,55109,12394,4478,13845,40737,16817,4480,505046,27440,11885,42638,37871,15381,10717,20700
134,"Eau Claire, WI Metro Area",168669,73016,73016,6220,6220,66796,66796,,21539,6819,20166,27114,14927,3165,444785,29411,7003,33399,40100,20400,9805,20740
135,"El Centro, CA Metro Area",181827,57893,57893,,16129,41764,41764,41764,14294,5291,13108,22612,13639,1530,300467,18731,33629,28537,33897,10661,5101,20940
137,"Elizabethtown-Fort Knox, KY Metro Area",152459,65323,65323,8225,8225,57098,57098,57098,19371,2613,13857,35187,9542,2475,401813,28975,10659,33535,37832,10498,8927,21060
138,"Elkhart-Goshen, IN Metro Area",205560,79495,79495,5835,5835,73660,73660,73660,21444,5673,18467,34714,15177,4429,501716,29923,23940,45415,35073,17224,8939,21140
139,"Elmira, NY Metro Area",84254,38924,38924,,4599,34325,34325,34325,11498,4747,10784,15265,6422,1339,230750,27398,7304,22183,17906,6985,5250,21300
140,"El Paso, TX Metro Area",844723,300964,300964,29842,29842,271122,271122,271122,105469,25147,60378,136001,60793,7498,1632774,21608,115061,120158,163162,80489,41761,21340
141,"Enid, OK Metro Area",60913,26802,26802,3804,3804,22998,22998,22998,8292,1250,7222,13701,3208,817,158764,26981,4255,14060,11986,6579,3084,21420
142,"Erie, PA Metro Area",272061,121615,121615,11818,11818,109797,109797,109797,37828,11623,29722,51027,21161,5312,741636,24913,15129,71415,48645,31866,20295,21500
143,"Eugene, OR Metro Area",379611,163490,163490,7418,7418,156072,156072,156072,63589,16210,44397,73512,20229,4767,891312,26722,21146,59382,102675,48647,30250,21660
145,"Evansville, IN-KY Metro Area",314672,143082,143082,14402,14402,128680,128680,128680,41340,16315,38759,61668,19920,3850,836204,29863,20057,72001,69292,37759,18654,21780
146,"Fairbanks, AK Metro Area",98971,44307,44307,7929,7929,36378,36378,36378,14768,6030,12417,15860,6448,1547,227508,35294,4093,15935,24795,10551,7749,21820
147,"Fargo, ND-MN Metro Area",245471,110709,110709,11403,11403,99306,99306,99306,42098,14848,31681,31560,21429,7160,646716,35588,8905,31950,54574,43400,15786,22020
150,"Farmington, NM Metro Area",125043,51273,51273,7566,7566,43707,43707,43707,12405,2569,11146,25982,7619,1366,274050,24594,12033,22134,34241,7570,5671,22140
151,"Fayetteville, NC Metro Area",387094,168287,168287,21527,21527,146760,146760,146760,68578,9615,36030,90572,24985,4599,959658,26290,22780,62159,95010,40987,21687,22180
152,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",553795,221914,221914,16636,16636,205278,205278,205278,78973,14105,53509,103451,38758,6390,1279526,30664,46591,101894,92955,67370,44092,22220
154,"Flagstaff, AZ Metro Area",142854,66838,66838,19563,19563,47275,47275,47275,17576,5507,16659,29619,9895,2041,351183,25442,8962,17666,27384,18005,12366,22380
155,"Flint, MI Metro Area",406892,192614,192614,23145,23145,169469,169469,169469,54063,15577,54927,89600,26578,4832,1154423,27008,25454,89613,103196,39717,22521,22420
156,"Florence, SC Metro Area",204961,91984,91984,16158,16158,75826,75826,75826,25128,3606,18853,49123,13970,3140,537972,24042,21720,48940,37032,18241,11837,22500
157,"Florence-Muscle Shoals, AL Metro Area",147149,72198,72198,12266,12266,59932,59932,59932,19347,3700,17297,36964,10772,2771,448042,26396,12601,41580,27099,13966,7983,22520
158,"Fond du Lac, WI Metro Area",103066,45361,45361,4352,4352,41009,41009,,12509,3720,12368,19630,7099,1387,272321,30211,5772,25528,25809,10990,4401,22540
160,"Fort Collins, CO Metro Area",350518,151840,151840,12458,12458,139382,139382,139382,51584,12197,39105,51713,32802,13363,934858,34592,11365,38385,72118,65806,45002,22660
162,"Fort Smith, AR-OK Metro Area",282318,125732,125732,16942,16942,108790,108790,108790,36172,9245,29322,67128,15218,2626,705595,23363,31767,64503,57623,23818,12533,22900
163,"Fort Wayne, IN Metro Area",437631,186072,186072,13761,13761,172311,172311,172311,48183,17622,38826,85257,35371,7040,1176159,30141,31078,84180,93471,51996,27834,23060
165,"Fresno, CA Metro Area",994400,333809,333809,24290,24290,309519,309519,309519,151080,25554,79501,143243,54925,11171,1758005,25211,143433,138951,198581,88479,45443,23420
166,"Gadsden, AL Metro Area",102501,47847,47847,,9222,38625,38625,38625,11242,1790,13456,25614,6299,614,291623,25055,8461,23717,25002,8676,5513,23460
167,"Gainesville, FL Metro Area",288711,126992,126992,21831,21831,105161,105161,105161,40416,11603,36535,51197,22001,2157,693505,25638,14249,38788,52765,41951,33384,23540
168,"Gainesville, GA Metro Area",202148,74431,74431,9441,9441,64990,64990,64990,19498,3584,16439,33098,15435,5256,469868,28870,28208,37306,34893,20532,11526,23580
170,"Gettysburg, PA Metro Area",102811,42572,42572,,3002,39570,39570,39570,9913,3435,8175,20971,7464,1691,266600,31362,7702,28054,19640,9519,7484,23900
171,"Glens Falls, NY Metro Area",125462,69804,69804,17808,17808,51996,51996,,16164,7096,20628,26213,10006,4506,418876,30130,10720,30544,26613,13743,11719,24020
173,"Goldsboro, NC Metro Area",123248,54467,54467,,5448,49019,49019,49019,18840,1256,13499,30931,6696,933,312724,24741,12929,24424,31256,9965,4039,24140
174,"Grand Forks, ND-MN Metro Area",102299,48421,48421,,5340,43081,43081,43081,19254,8231,13408,14836,7750,3037,273685,30600,3713,16822,24922,12416,5346,24220
175,"Grand Island, NE Metro Area",85104,36167,36167,3480,3480,32687,32687,32687,10867,2587,9759,14530,5861,2649,233742,30674,6517,16080,19922,9538,3481,24260
176,"Grand Junction, CO Metro Area",153207,67215,67215,,5367,61848,61848,61848,19471,4101,16338,33049,10390,2504,381464,29752,9925,28088,35302,20202,11155,24300
177,"Grand Rapids-Wyoming, MI Metro Area",1069405,424695,424695,27496,27496,397199,397199,397199,103088,35581,106971,165119,83391,26947,2706150,30717,53660,192612,220278,157353,79271,24340
178,"Grants Pass, OR Metro Area",87393,39354,39354,,,37059,37059,,10729,4273,10604,18103,4056,1535,214562,23520,4853,20065,30020,6951,3772,24420
179,"Great Falls, MT Metro Area",81643,39037,39037,3479,3479,35558,35558,35558,14375,5273,9573,12842,7019,3003,230872,30216,4422,17762,20709,8854,4891,24500
180,"Greeley, CO Metro Area",314305,112472,112472,4543,4543,107929,107929,107929,28301,5472,23042,42554,26718,12540,727354,32827,22313,57088,67769,38448,16999,24540
181,"Green Bay, WI Metro Area",321591,144173,144173,15060,15060,129113,129113,129113,39069,11929,41541,61940,22357,4899,850875,31906,16344,71297,71599,41588,17225,24580
184,"Greensboro-High Point, NC Metro Area",767711,337386,337386,35285,35285,302101,302101,302101,114513,22937,95704,152550,46123,11420,1932900,27672,67094,135152,163735,103214,53262,24660
185,"Greenville, NC Metro Area",179914,80244,80244,10956,10956,69288,69288,69288,32296,11338,18102,36759,10202,2213,426505,22330,13836,26425,35426,23555,11929,24780
186,"Greenville-Anderson-Mauldin, SC Metro Area",906626,389673,389673,45009,45009,344664,344664,344664,107824,24199,95936,178601,64489,18155,2346689,27212,83572,165059,175567,118295,70684,24860
188,"Guayama, PR Metro Area",70764,34073,34073,,8632,25441,25441,,7461,1514,5408,22543,4265,272,163436,,,,,,,25020
189,"Gulfport-Biloxi-Pascagoula, MS Metro Area",397261,182544,182544,27518,27518,155026,155026,155026,59375,13887,44351,91991,25360,4721,1045315,25425,26814,76848,102440,39427,23593,25060
190,"Hagerstown-Martinsburg, MD-WV Metro Area",268049,111046,111046,8940,8940,102106,102106,102106,32332,8881,24092,53217,18961,4862,698527,31267,22085,67840,56735,26634,13347,25180
191,"Hammond, LA Metro Area",133777,56367,56367,8966,8966,47401,47401,,13168,4191,14343,28642,7968,918,317592,22735,11406,33373,25306,11603,4982,25220
192,"Hanford-Corcoran, CA Metro Area",151366,46649,46649,,2922,43727,43727,43727,20170,2205,10237,24243,8869,654,254452,27069,24438,23578,32400,9483,4404,25260
193,"Harrisburg-Carlisle, PA Metro Area",574659,252622,252622,19031,19031,233591,233591,233591,79048,23828,57143,110596,44973,12015,1597127,33570,36052,136351,96927,82641,48118,25420
194,"Harrisonburg, VA Metro Area",135277,54152,54152,6165,6165,47987,47987,47987,17830,4090,14427,23189,9191,2671,325384,24886,11327,27332,17957,14067,10632,25500
195,"Hartford-West Hartford-East Hartford, CT Metro Area",1206300,517029,517029,46378,46378,470651,470651,470651,154372,64248,137915,202457,84359,17314,3005952,38024,71333,219913,213356,186187,151800,25540
196,"Hattiesburg, MS Metro Area",149119,64042,64042,,9958,54084,54084,,20388,4685,14849,29515,11998,2066,378353,22026,13064,22001,28397,18967,11138,25620
199,"Hickory-Lenoir-Morganton, NC Metro Area",368416,165129,165129,19971,19971,145158,145158,145158,39904,7148,49156,82749,20153,4767,934108,25821,42916,85989,83342,36490,15424,25860
201,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",217686,112376,112376,28335,28335,84041,84041,84041,22113,5429,29683,52160,20048,4206,676226,29144,12562,38631,41206,35847,25592,25940
202,"Hinesville, GA Metro Area",80008,36355,36355,5059,5059,31296,31296,31296,15881,1704,8013,18152,6896,574,206065,27784,4767,16701,18122,4859,3058,25980
