,Unnamed: 0,msa,NAME,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25005_001E,B25048_001E,B25052_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,gdp_2019,score_sdgi,_merge
109,111,21340,"El Paso, TX Metro Area",827224,270137,365307,225223,148686,643387,843725,302722,302722,32585.0,270137.0,270137.0,106704,25333,64802,138840,56844,7565,1633845,23326.0,106607.0,133378.0,161678.0,85891.0,35829.0,29193881.0,43.0,both
127,129,23420,"Fresno, CA Metro Area",981920,315974,425192,281383,175750,746456,999101,336479,336479,20505.0,315974.0,315974.0,146538,28147,79164,142714,56138,11501,1763374,27429.0,145187.0,136503.0,202934.0,91545.0,45271.0,46009312.0,43.0,both
137,139,24340,"Grand Rapids-Kentwood, MI Metro Area",1050859,396763,447594,254741,224097,850249,1077370,425430,425430,28667.0,396763.0,396763.0,109842,33161,102302,165689,88659,27890,2722771,31785.0,59028.0,188719.0,225895.0,157561.0,80206.0,55050649.0,55.0,both
142,144,24660,"Greensboro-High Point, NC Metro Area",746472,301529,299967,169051,176393,621699,771851,338972,338972,37443.0,301529.0,301529.0,115169,22115,94013,149254,51090,12258,1962381,27078.0,71470.0,142829.0,153686.0,102235.0,55217.0,38579779.0,46.0,both
144,146,24860,"Greenville-Anderson, SC Metro Area",896193,349480,359891,204035,213754,740081,920477,395415,395415,45935.0,349480.0,349480.0,101747,23268,92782,186640,68510,16528,2407311,29443.0,75926.0,166035.0,187505.0,124288.0,71787.0,42439987.0,45.0,both
149,152,25420,"Harrisburg-Carlisle, PA Metro Area",559043,234365,215607,123799,143688,469137,577941,254393,254393,20028.0,234365.0,234365.0,76120,23368,63770,104982,44309,13261,1594119,34897.0,37311.0,135671.0,97330.0,83786.0,50804.0,36226869.0,47.0,both
151,154,25540,"Hartford-East Hartford-Middletown, CT Metro Area",1162742,476867,464863,240763,301488,994927,1204877,518329,518329,41462.0,476867.0,476867.0,162702,69675,138451,193594,87785,16801,2987896,39322.0,74632.0,219178.0,214413.0,183495.0,151408.0,93534792.0,47.0,both
159,162,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6981579,2436438,3003088,1861784,1201910,5407415,7066140,2690001,2690001,253563.0,2436438.0,2436438.0,972546,401339,556262,942294,598663,136455,15491803,34661.0,702982.0,1075744.0,1270252.0,971507.0,551225.0,472104254.0,42.0,both
163,166,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2027204,793781,838621,507552,411379,1626320,2076531,875563,875563,81782.0,793781.0,793781.0,276508,89654,224566,348191,157573,39667,5437922,34148.0,133595.0,394308.0,371565.0,314963.0,173394.0,126096448.0,41.0,both
167,170,27140,"Jackson, MS Metro Area",571423,218853,246619,141186,125215,472227,594800,253666,253666,34813.0,218853.0,218853.0,73448,17811,50190,132589,43713,7357,1497857,26299.0,47298.0,100960.0,124710.0,76855.0,45539.0,24577764.0,35.0,both
169,172,27260,"Jacksonville, FL Metro Area",1525183,584381,604835,347895,355013,1247978,1559514,669824,669824,85443.0,584381.0,584381.0,198611,58041,143620,291718,139183,29090,3975691,32431.0,91122.0,301614.0,339137.0,229042.0,123576.0,75768093.0,45.0,both
178,181,32580,"McAllen-Edinburg-Mission, TX Metro Area",858187,247544,368454,278587,135536,621900,868707,285996,285996,38452.0,247544.0,247544.0,78818,26565,84466,119620,41623,6100,1405752,19896.0,160213.0,120675.0,118408.0,66693.0,27258.0,19766430.0,39.0,both
180,183,32820,"Memphis, TN-MS-AR Metro Area",1318390,505048,537352,330742,277202,1052727,1344910,573811,573811,68763.0,505048.0,505048.0,208116,48890,133039,251510,103288,28812,3444748,29979.0,105073.0,260787.0,270241.0,155591.0,101435.0,68352723.0,36.0,both
182,186,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6093632,2187192,2321793,1243489,1533192,5067035,6166488,2562497,2562497,375305.0,2187192.0,2187192.0,892888,365471,931885,789857,299973,84817,12643425,29323.0,651185.0,1162447.0,1152331.0,913264.0,555831.0,327129154.0,47.0,both
186,190,33340,"Milwaukee-Waukesha, WI Metro Area",1544680,635351,619707,359574,352358,1256343,1575179,683615,683615,48264.0,635351.0,635351.0,254881,81137,195513,271114,99214,22652,3929695,36081.0,84920.0,287378.0,313029.0,258655.0,133723.0,93888193.0,46.0,both
187,191,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3580291,1396025,1474789,854445,749951,2878094,3640043,1469597,1469597,73572.0,1396025.0,1396025.0,416595,188066,357171,443373,332460,109954,9402375,41474.0,145258.0,530423.0,734565.0,702983.0,369679.0,242537142.0,58.0,both
190,194,33700,"Modesto, CA Metro Area",546896,174698,227702,147773,103549,419828,550660,182987,182987,8289.0,174698.0,174698.0,74451,13445,41776,84551,32691,7130,1014343,31226.0,68799.0,106940.0,113257.0,43323.0,17260.0,23715709.0,49.0,both
200,204,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1892473,733787,817042,442175,373155,1537911,1933860,806178,806178,72391.0,733787.0,733787.0,250599,76255,195837,346686,138186,37329,4889755,35196.0,124603.0,333151.0,349261.0,326225.0,179304.0,121217044.0,48.0,both
204,208,35300,"New Haven-Milford, CT Metro Area",828166,329006,331267,170625,213681,704854,854757,368680,368680,39674.0,329006.0,329006.0,129887,52853,110770,134849,51063,10402,2023512,35267.0,63516.0,183855.0,142226.0,112267.0,98814.0,48368218.0,52.0,both
205,209,35380,"New Orleans-Metairie, LA Metro Area",1251089,485267,499501,280935,299898,1019357,1270530,561747,561747,76480.0,485267.0,485267.0,177392,62872,142183,230282,97580,16866,3218043,30324.0,105970.0,246877.0,248302.0,174560.0,111817.0,77290815.0,40.0,both
206,210,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",18877126,7102817,7670576,4096809,4334637,15583548,19216182,7797416,7797416,694599.0,7102817.0,7102817.0,3491333,1611651,2151464,2121193,1083747,398407,40537346,40271.0,1710664.0,3316837.0,2830504.0,3266624.0,2375867.0,1573857186.0,57.0,both
208,212,35840,"North Port-Sarasota-Bradenton, FL Metro Area",826455,332582,232018,133078,341485,717706,836995,448252,448252,115670.0,332582.0,332582.0,77728,36149,184257,169029,44195,9738,2404055,31819.0,50806.0,187551.0,192059.0,127154.0,92061.0,31736122.0,47.0,both
210,214,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2562362,889822,1099900,565145,549047,2106602,2608147,1077100,1077100,187278.0,889822.0,889822.0,338963,106675,280067,403175,216437,52068,6037047,29401.0,196771.0,462744.0,540556.0,391960.0,208269.0,128416036.0,45.0,both
216,220,36260,"Ogden-Clearfield, UT Metro Area",677034,218724,296245,206538,109941,498303,683024,230000,230000,11276.0,218724.0,218724.0,52285,10645,38342,67022,56207,55162,1656192,35073.0,23592.0,102456.0,153987.0,91577.0,40002.0,27150236.0,49.0,both
217,221,36540,"Omaha-Council Bluffs, NE-IA Metro Area",931470,367037,384755,242109,190805,732690,949726,394296,394296,27259.0,367037.0,367037.0,124580,47753,91859,150221,76192,21972,2496466,36907.0,45581.0,151476.0,192937.0,154146.0,81781.0,57996493.0,49.0,both
218,222,36420,"Oklahoma City, OK Metro Area",1377460,523919,591996,344152,283578,1103871,1408950,582820,582820,58901.0,523919.0,523919.0,192185,52731,130841,282783,94117,11322,3307892,32340.0,100050.0,255496.0,276039.0,183585.0,106502.0,79297922.0,40.0,both
220,224,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",832477,268524,331138,190291,190440,676757,846006,291547,291547,23023.0,268524.0,268524.0,100014,27925,73355,93577,74885,16068,1674991,35828.0,78199.0,120731.0,177284.0,126372.0,74668.0,48496595.0,57.0,both
221,225,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",595223,230043,194995,109373,192091,506159,601942,282830,282830,52787.0,230043.0,230043.0,51737,19819,74506,129639,47143,7100,1607860,30467.0,33811.0,125446.0,154500.0,84941.0,52074.0,24619760.0,46.0,both
226,230,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5950835,2323207,2406910,1314182,1416836,4938756,6102434,2507446,2507446,184239.0,2323207.0,2323207.0,773834,307051,491687,1010133,520180,120056,15619020,36640.0,373155.0,1210742.0,1006726.0,981041.0,677330.0,401231953.0,50.0,both
227,231,38060,"Phoenix-Mesa-Chandler, AZ Metro Area",4861744,1765135,2013603,1155012,1069487,3923235,4948203,1970654,1970654,205519.0,1765135.0,1765135.0,625739,213544,521464,688651,398744,102187,11027836,33960.0,401098.0,768811.0,1096688.0,686516.0,387981.0,237472532.0,50.0,both
229,233,38300,"Pittsburgh, PA Metro Area",2259275,1028436,849888,435787,658520,1933535,2317600,1133294,1133294,104858.0,1028436.0,1028436.0,327108,132880,290593,460543,183156,41941,6914563,34434.0,97527.0,532317.0,453540.0,369868.0,239397.0,145529947.0,51.0,both
233,238,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2458017,964554,1047395,524712,536203,2027439,2493221,1021843,1021843,57289.0,964554.0,964554.0,368545,113483,255993,382567,178654,44202,5800054,37932.0,128863.0,368268.0,559019.0,437779.0,275571.0,156663199.0,66.0,both
237,242,39300,"Providence-Warwick, RI-MA Metro Area",1569628,627702,632934,319297,402852,1345769,1624578,707080,707080,79378.0,627702.0,627702.0,238221,96841,207958,272291,92710,20922,3940350,33960.0,134955.0,331964.0,299066.0,236130.0,144134.0,79007652.0,56.0,both
238,243,39340,"Provo-Orem, UT Metro Area",634153,182219,319854,214036,73964,458749,649603,190792,190792,8573.0,182219.0,182219.0,58429,9504,30700,54364,41218,53311,1374426,28197.0,14414.0,59519.0,120864.0,93987.0,39208.0,26352751.0,52.0,both
242,247,39580,"Raleigh-Cary, NC Metro Area",1363497,519648,582201,330735,247900,1099213,1390785,562945,562945,43297.0,519648.0,519648.0,178843,49486,118774,227400,121600,38058,3512075,38791.0,72241.0,163322.0,251039.0,279121.0,169597.0,84678690.0,59.0,both
250,255,40900,"Sacramento-Roseville-Folsom, CA Metro Area",2327254,854279,958406,534049,519435,1891368,2363730,918822,918822,64543.0,854279.0,854279.0,337909,95731,222394,349190,184869,47579,5151511,36560.0,158594.0,355147.0,548499.0,362352.0,188781.0,132501716.0,54.0,both
