GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
16940,"Cheyenne, WY (Metropolitan Statistical Area)",3618380,3748839,3932319,4099386,4131329,4405211,4916089,5398829,4714789,4749666,4890889,5062378,4940219,4944933,5177058,5032574,5064352,5192640,5272539
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",514160632,516901567,523536761,537784477,550057167,558927263,565096635,550541308,530774179,538596641,547116021,561292438,563328970,579750876,594766217,596449969,601602146,615470781,618616499
17020,"Chico, CA (Metropolitan Statistical Area)",6597684,7127037,7498389,7677651,7895336,8384016,8271652,7970840,7970924,7956576,7957246,7711583,7921563,7936909,8268655,8781189,9194683,9366983,9897121
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",101546596,103908509,105749760,107378249,109780733,109222270,109740620,109249527,105185054,108781498,112272031,113190381,114011795,117043247,120186613,124272438,126548377,129838822,133730544
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",7575148,8226867,8468895,9150689,9980876,10595076,10333070,10600344,10630678,10926211,11516285,11602283,11313039,11203066,11275027,10884642,10996668,11139831,11289906
17420,"Cleveland, TN (Metropolitan Statistical Area)",3294751,3459453,3446582,3670499,3662430,3711724,3719670,3807648,3741686,3864184,3894409,4375700,4494543,4419735,4570650,4287122,4244060,4326754,4416996
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",105858771,108081137,110725957,113173693,115840592,113929891,114051615,113073346,105249132,106513234,108386008,109364832,109092985,111622905,112027113,112225124,113606467,116646873,118167899
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",3487843,3563769,3701207,3936696,4296594,4550090,4779111,4707073,4395261,4564144,4399225,4429773,4648026,4761576,4891847,5127315,5350953,5674115,5789257
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",7069040,7363934,7604010,7726861,8337718,9137876,10002391,10472845,11300529,10687316,10493992,10573845,11319243,12063070,12817876,12889417,13416085,13857364,14097734
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",24423674,24552772,24798606,25222531,26404968,26881957,27537759,27775574,27819640,28752981,29278103,29405695,29679255,29806428,30355584,30809520,32121120,33113428,34322697
17860,"Columbia, MO (Metropolitan Statistical Area)",6746274,6837074,7051483,7251525,7410844,7544373,7501474,7647289,7613814,7772146,7925943,8137365,8381967,8403652,8523026,8692828,8829174,8970153,9140817
17900,"Columbia, SC (Metropolitan Statistical Area)",28094685,28407837,29309463,30496434,31248800,32349723,33224688,33628885,32807320,32823247,32889623,32628337,33474678,34694881,35780570,36770520,37356902,37990145,38637223
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",11094512,11460922,11495114,11699500,11957384,12321488,12713029,12746416,12899476,13094517,13323926,13440386,13173588,13131617,13267650,12906875,13118991,13458004,13596205
18020,"Columbus, IN (Metropolitan Statistical Area)",3565035,3455565,3630233,3805487,4024959,4469335,4982543,5315074,4395362,5328581,5449761,5881807,6183162,5920651,5776185,5636580,5756521,6078107,6045053
18140,"Columbus, OH (Metropolitan Statistical Area)",85619417,87125732,89318514,92278681,95310078,93693387,94631347,93489152,90529835,93355583,96863869,100756699,103773588,107394111,109355639,111322165,113818015,116225180,117001202
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",17807383,17798833,18636702,20208401,18908901,19266100,20633069,19764496,19463963,20809520,21525025,21248470,21598057,20413304,20411801,20015939,20679080,21545067,21949935
18700,"Corvallis, OR (Metropolitan Statistical Area)",2649729,2695364,2744818,2864739,3012658,3340461,3646583,3827497,3775762,3872168,4022646,3960707,3854539,3828056,3905224,4005422,4216705,4390818,4457457
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",8719868,9488968,10337337,11411473,12282897,11965050,11816200,11359064,10885834,10714975,10768907,11307740,11511219,11614934,11961938,12252505,12821169,13234960,13934981
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",3154416,3208341,3169562,3185347,3217134,3384491,3373452,3413051,3398020,3615865,3631520,3548948,3549466,3501485,3575804,3615242,3609177,3576443,3674605
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",277828347,284972953,287649914,303271642,317728447,335638370,349043975,354118402,342724450,349011892,361324551,374743312,385095956,400172423,419840896,432613158,448957236,464389967,472334266
19140,"Dalton, GA (Metropolitan Statistical Area)",5742638,6008984,6086150,6745941,6981979,6992218,7070750,6688677,6077274,5736250,5780403,5952819,5875506,6037834,6258492,6482851,6436619,6393991,6350119
19180,"Danville, IL (Metropolitan Statistical Area)",2843741,2930599,3056127,3206231,3154964,3391601,3386869,3317219,3139195,3166625,3201096,3278839,3256354,3298664,3182848,3157389,3123501,3147084,3202651
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",3950240,4148592,4334484,4752933,5241386,5290492,5295745,4999447,4740175,4897798,4934067,5051126,5180403,5258587,5437402,5625966,5754579,6006401,6140514
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",16825171,16721074,17142130,18171507,18541273,18926400,19307844,19623174,18768180,19224723,19888467,20542006,19940129,20219110,19816740,19364536,19418804,19653928,20022640
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",35204248,36204706,36786211,37875401,38087690,38004641,36923356,36008848,34005641,34849749,35909680,35848523,36037704,36366896,36767751,37280433,38082606,39298466,40003761
19460,"Decatur, AL (Metropolitan Statistical Area)",4854315,4813735,5185211,5846893,5465329,5654586,5814972,5601855,5511986,5575218,5403312,5371576,5304881,5302710,5297971,5467656,5468046,5656086,5824699
19500,"Decatur, IL (Metropolitan Statistical Area)",5576617,5582330,5625728,5799316,5882257,6087512,6313444,6727833,6727543,6827647,6859159,6578471,6939802,7190745,7417343,6939925,6483983,6485632,6399861
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",13096554,14143548,15431587,16445652,17133245,18135944,18213439,17430069,16309064,16164894,15999431,16041930,16059506,16275349,16858847,17597959,18214781,18829924,19285228
