,NAME,S1701_C01_001E,S1703_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,msa
84,"Charlottesville, VA Metro Area",205658,,87274,90310,41312,53874,-888888888,181781,16820
85,"Chattanooga, TN-GA Metro Area",551560,551560,222950,216264,120432,143411,-888888888,460368,16860
86,"Chico, CA Metro Area",213523,,77651,92293,44456,54798,-888888888,179661,17020
88,"Cincinnati, OH-KY-IN Metro Area",2167822,2167822,878645,869929,515106,501493,-888888888,1763035,17140
90,"Clarksville, TN-KY Metro Area",299006,,115195,143177,81064,52476,-888888888,238902,17300
92,"Cleveland, TN Metro Area",122511,,46936,49199,27763,30358,-888888888,103491,17420
93,"Cleveland-Elyria, OH Metro Area",2007164,2007164,872626,755341,428619,538137,-888888888,1672048,17460
94,"Coeur d'Alene, ID Metro Area",163518,,65283,59996,37817,43547,-888888888,131718,17660
95,"College Station-Bryan, TX Metro Area",251441,,94597,140574,56179,41086,-888888888,217456,17780
96,"Colorado Springs, CO Metro Area",727069,727069,275778,322973,173922,147150,-888888888,591197,17820
97,"Columbia, MO Metro Area",197230,,80127,100522,43388,37979,-888888888,169785,17860
98,"Columbia, SC Metro Area",802475,802475,317998,345875,184950,182759,-888888888,675295,17900
99,"Columbus, GA-AL Metro Area",308774,,119728,132568,76831,66612,-888888888,252999,17980
101,"Columbus, IN Metro Area",82540,,30383,33675,19988,19127,-888888888,-999999999,18020
102,"Columbus, OH Metro Area",2065259,2065259,817086,894554,495264,415588,-888888888,1678203,18140
107,"Corpus Christi, TX Metro Area",419951,,153066,176879,105628,88739,-888888888,334911,18580
108,"Corvallis, OR Metro Area",87493,,37378,46432,14882,20636,-888888888,79786,18700
109,"Crestview-Fort Walton Beach-Destin, FL Metro Area",275639,,102572,110850,62367,69424,-888888888,228606,18880
110,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",656550,656550,263915,215727,115797,228021,-888888888,565631,19660
