,NAME,S1701_C01_001E,S1703_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,gdp_2019
37,Maine,1304100,1304100,573618,470349,246353,394575,1128168,1344212,750964,750964,177346,177346,573618,573618,573618,159499,86820,221763,290418,100458,30378,4245841,31267.0,67314.0,311108.0,283731.0,205722.0,123277.0,59433.9
38,Maryland,5898360,5898360,2226767,2360833,1332287,1367175,4862424,6045680,2470307,2470307,243540,243540,2226767,2226767,2226767,738599,250473,534804,894391,540475,201104,16072000,41360.0,402152.0,1030636.0,1040840.0,911781.0,798449.0,369623.9
39,Massachusetts,6656430,6656430,2650680,2777994,1351777,1630322,5707254,6892503,2928818,2928818,278138,278138,2650680,2650680,2650680,1002933,415587,812233,1014097,482868,127856,16821371,40365.0,420941.0,1158066.0,1089826.0,1197208.0,984535.0,517727.1
40,Michigan,9772151,9772151,3969880,3804038,2142822,2464173,8095913,9986857,4629605,4629605,659725,659725,3969880,3969880,3969880,1128685,415757,1166406,2027027,762887,180758,27995821,30896.0,596287.0,2005981.0,2221564.0,1252685.0,818110.0,467300.2
41,Minnesota,5515416,5515416,2222568,2204709,1302669,1291944,4479456,5639632,2477515,2477515,254947,254947,2222568,2222568,2222568,624172,283951,625127,805202,536735,168100,15654694,38224.0,245690.0,939997.0,1228299.0,942830.0,490396.0,340130.4
42,Connecticut,3460446,3460446,1377166,1350085,727432,885407,2926854,3565287,1524959,1524959,147793,147793,1377166,1377166,1377166,481572,197985,412875,544733,264859,70778,8941554,38484.0,231839.0,668361.0,601672.0,549166.0,445382.0,251495.1
43,Florida,21048884,21048884,7905832,7860502,4231955,5920539,17719854,21477737,9674053,9674053,1768221,1768221,7905832,7905832,7905832,2668313,984257,3142983,3708302,1358485,275878,51753692,29758.0,1794635.0,4396122.0,4540108.0,2982643.0,1770994.0,971619.2
44,Alabama,4781688,4781688,1897576,1887552,1085597,1186229,3937453,4903185,2284922,2284922,387346,387346,1897576,1897576,1897576,592353,147772,513776,1120871,380597,89098,13778062,27212.0,433073.0,1039241.0,1002387.0,547975.0,337382.0,203383.9
45,Alaska,713725,713725,252199,305180,179749,136500,569699,731545,319867,319867,67668,67668,252199,252199,252199,88927,41507,83093,109374,51094,10507,1603353,34921.0,31090.0,139156.0,167655.0,89583.0,56574.0,53336.5
46,Arizona,7116266,7116266,2670441,2874672,1639648,1746326,5820607,7278717,3076048,3076048,405607,405607,2670441,2670441,2670441,927771,346892,819760,1136495,554232,129641,16791667,31453.0,612998.0,1170685.0,1668699.0,931038.0,561120.0,323894.3
47,Arkansas,2929117,2929117,1163647,1167142,699012,717809,2401299,3017804,1389159,1389159,225512,225512,1163647,1163647,1163647,401838,101833,361814,680008,182182,33202,7869874,26315.0,254993.0,710306.0,595790.0,307185.0,168182.0,116790.9
48,California,38733295,38733295,13157873,16521203,8891064,8166156,31617786,39512223,14367012,14367012,1209139,1209139,13157873,13157873,13157873,5939131,1982195,3896852,4768220,2461058,618248,74600010,35228.0,4301513.0,5546711.0,7661164.0,5889724.0,3538760.0,2739343.4
49,Colorado,5637904,5637904,2235103,2458800,1256320,1199263,4645780,5758736,2464109,2464109,229006,229006,2235103,2235103,2235103,763191,290686,599523,813764,487914,214702,14979831,38200.0,302220.0,836590.0,1140531.0,1057825.0,637777.0,356773.6
50,Delaware,944955,944955,376239,360247,203946,260433,792119,973764,443764,443764,67525,67525,376239,376239,376239,111736,31478,89128,201743,96176,19658,2832616,35419.0,66522.0,207642.0,184948.0,134287.0,93912.0,64262.4
51,District of Columbia,673041,673041,291570,361242,127901,120007,587819,705749,322814,322814,31244,31244,291570,291570,291570,170582,100159,83812,65792,28892,12320,1495115,52758.0,41168.0,79881.0,82667.0,129825.0,171604.0,124990.3
